name,business_status,price_level,place_id,rating,types,lat,lng,open,neighborhood
IL Punto,OPERATIONAL,3,ChIJw1QgWK1ZwokRnOR94NZ1i8w,4.5,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7561378,-73.99461769999999,TRUE,Hell's Kitchen
Masseria dei Vini,OPERATIONAL,3,ChIJeVfr_FhYwokRVM1IjwyvQpE,4.6,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7684477,-73.9857048,TRUE,Hell's Kitchen
The Blue Dog Cookhouse and Bar,OPERATIONAL,2,ChIJC6xz-lZYwokRd5Gv26A3RMA,4.4,"c(""restaurant"", ""bar"", ""food"", ""point_of_interest"", ""establishment"")",40.7625572,-73.98696679999999,TRUE,Hell's Kitchen
Patzeria Family & Friends,CLOSED_TEMPORARILY,2,ChIJqfLkvFZYwokRnMKUT5PcfFQ,4.5,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.761457,-73.987591,FALSE,Hell's Kitchen
Real Kung Fu Little Steamed Buns Ramen,OPERATIONAL,1,ChIJT9pRklZYwokRDwIZonSnPjs,4.4,"c(""restaurant"", ""food"", ""point_of_interest"", ""store"", ""establishment"")",40.761625,-73.98688059999999,TRUE,Hell's Kitchen
Rustic table,OPERATIONAL,2,ChIJuw-bok1YwokR7GDlUe3V_v0,4.5,"c(""restaurant"", ""bar"", ""food"", ""point_of_interest"", ""establishment"")",40.759567,-73.99595599999999,TRUE,Hell's Kitchen
Ippudo Westside,CLOSED_TEMPORARILY,2,ChIJB9vaBFdYwokRketCYydnSBM,4.6,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.76349,-73.98659599999999,FALSE,Hell's Kitchen
Mercato,OPERATIONAL,2,ChIJaR8ATK1ZwokR8w8YRQ_lQOw,4.3,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7642884,-73.9881589,TRUE,Hell's Kitchen
Danji,OPERATIONAL,3,ChIJIwWKEldYwokRp55CNPQ4XkE,4.3,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7661805,-73.9909847,TRUE,Hell's Kitchen
Bareburger,OPERATIONAL,2,ChIJhTdv51NYwokR7V105uVzf8g,4.5,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.76098090000001,-73.99422779999999,TRUE,Hell's Kitchen
